,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,1,0,49,0
1,Operations,region_22,Bachelor's,m,other,1,30,5.0,4,0,0,60,0
2,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,0,50,0
3,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,0,50,0
4,Technology,region_26,Bachelor's,m,other,1,45,3.0,2,0,0,73,0
5,Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,0,0,85,0
6,Operations,region_20,Bachelor's,f,other,1,31,3.0,5,0,0,59,0
7,Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,0,0,63,0
8,Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,0,0,83,0
9,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,1,0,54,0
10,Technology,region_23,Bachelor's,m,sourcing,1,30,1.0,1,0,0,77,0
11,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,1,0,50,1
12,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,1,0,49,0
13,Technology,region_29,Master's & above,m,other,2,39,3.0,16,0,0,80,0
14,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,0,84,0
15,Operations,region_7,Bachelor's,m,other,1,37,1.0,10,0,0,60,0
16,Technology,region_2,Bachelor's,m,other,1,38,3.0,5,1,0,77,0
17,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,0,51,0
18,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,1,0,46,0
19,Operations,region_15,Bachelor's,m,other,1,37,3.0,9,0,0,59,0
20,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,0,75,0
21,Operations,region_15,Bachelor's,m,sourcing,1,41,4.0,11,0,0,57,0
22,Finance,region_11,Bachelor's,f,other,1,28,3.0,4,0,0,63,0
23,Procurement,region_5,Bachelor's,m,other,1,27,1.0,1,0,0,70,0
24,Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,0,59,0
25,Technology,region_22,Bachelor's,m,other,1,27,5.0,3,1,0,83,0
26,Procurement,region_26,Bachelor's,m,other,1,31,5.0,4,1,0,68,0
27,Technology,region_26,Bachelor's,m,other,1,33,4.0,4,0,0,79,0
28,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,1,0,80,0
29,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,1.0,1,0,0,44,0
30,Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,1,0,72,0
31,Finance,region_31,Bachelor's,m,other,2,26,1.0,2,0,0,61,0
32,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,24,1.0,2,0,0,48,0
33,Operations,region_2,Bachelor's,m,sourcing,2,57,4.0,6,0,0,58,0
34,Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,1,0,87,0
35,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2.0,4,1,0,47,0
36,Technology,region_28,Bachelor's,m,sourcing,1,33,4.0,4,1,0,75,0
37,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5.0,3,0,0,47,0
38,Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,1,0,51,0
39,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,1,0,51,1
40,Technology,region_15,Bachelor's,m,other,1,34,3.0,10,0,0,80,0
41,Operations,region_2,Bachelor's,f,other,2,23,4.0,2,1,0,57,0
42,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,1,0,52,0
43,Sales & Marketing,region_2,Bachelor's,m,other,3,24,2.0,2,0,0,48,0
44,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,0,88,0
45,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,0,71,0
46,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,0,71,0
47,Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,0,80,0
48,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,1,0,49,0
49,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,0,0,73,0
50,Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,1,0,60,0
51,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,0,48,0
52,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,1,0,65,0
53,HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,0,50,0
54,Operations,region_22,Bachelor's,m,other,1,39,3.0,5,1,0,62,0
55,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,0,85,0
56,Sales & Marketing,region_31,Bachelor's,f,other,1,29,1.0,1,0,0,49,0
57,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,1,0,84,0
58,Sales & Marketing,region_16,Bachelor's,m,other,2,27,1.0,1,1,0,47,0
59,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,0,52,0
60,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,1,0,47,1
61,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,0,53,0
62,Analytics,region_22,Bachelor's,f,other,1,28,1.0,1,1,0,80,0
63,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,1,0,52,0
64,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,0,87,0
65,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,1,0,58,0
66,Finance,region_22,Bachelor's,m,other,1,27,1.0,1,1,1,58,1
67,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,1.0,1,0,0,61,1
68,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,1,0,75,0
69,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,1,0,84,1
70,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,1,0,59,0
71,Technology,region_22,Master's & above,m,other,1,34,5.0,7,1,0,78,1
72,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,0,52,0
73,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,0,44,0
74,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,0,52,0
75,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,1,0,49,1
76,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,0,51,0
77,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,1,0,53,0
78,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,1,0,91,0
79,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,0,58,1
80,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,0,79,0
81,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,0,53,0
82,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,25,3.0,2,0,0,53,0
83,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,0,82,0
84,Legal,region_7,Bachelor's,m,other,1,29,1.0,1,0,0,65,1
85,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,1,0,60,1
86,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,0,52,0
87,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,1.0,9,0,0,49,0
88,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,1,0,69,1
89,Sales & Marketing,region_31,Bachelor's,f,other,1,31,1.0,1,0,0,51,0
90,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,20,1.0,1,0,0,55,0
91,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,0,85,0
92,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,1,0,74,0
93,HR,region_2,Master's & above,m,other,1,47,3.0,7,0,0,44,0
94,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,0,53,0
95,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,1,0,86,0
96,Technology,region_26,Bachelor's,f,sourcing,1,23,1.0,1,0,0,77,0
97,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,0,57,0
98,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,1,0,52,0
99,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,0,59,0
100,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,1,0,63,1
101,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,0,57,0
102,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,1,0,83,0
103,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,1,0,54,0
104,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,0,50,0
105,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,1,0,57,1
106,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,1,0,62,0
107,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,0,73,0
108,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,0,50,0
109,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,0,79,0
110,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,0,49,0
111,HR,region_13,Bachelor's,f,other,1,30,1.0,1,1,0,54,0
112,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,1,0,63,0
113,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,1,0,90,1
114,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,0,49,0
115,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,0,46,0
116,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,0,86,1
117,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,0,72,0
118,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,1,0,72,1
119,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,0,82,0
120,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,0,77,0
121,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,1,0,51,1
122,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,0,1,92,1
123,Operations,region_22,Bachelor's,f,sourcing,1,27,1.0,1,1,0,58,0
124,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,1,0,71,0
125,Analytics,region_8,Bachelor's,m,other,1,28,1.0,1,1,0,83,0
126,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,0,68,0
127,Sales & Marketing,region_27,Bachelor's,f,other,1,30,1.0,1,0,0,50,0
128,Operations,region_1,Master's & above,m,other,1,38,5.0,9,1,0,61,0
129,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,0,47,0
130,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,0,46,0
131,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,1,0,67,0
132,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,0,58,0
133,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,0,89,1
134,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,0,50,0
135,Operations,region_7,Bachelor's,m,sourcing,1,24,1.0,1,1,0,56,0
136,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,1,0,78,0
137,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,0,56,0
138,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,1,78,0
139,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,0,77,0
140,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,1,76,0
141,Finance,region_23,Bachelor's,m,sourcing,1,31,1.0,1,1,0,56,0
142,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,1,0,84,0
143,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,0,57,0
144,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,0,81,0
145,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,0,51,0
146,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,1,0,51,0
147,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,1,0,80,0
148,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,0,72,0
149,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,0,50,0
150,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,0,48,0
151,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,0,88,1
